536, 586, 86, -210
231, 962, 37, -231
212, 550, 449, -212
2, 98, 634, 264
517, 826, 112, -456
371, 976, 20, -367
976, 993, 3, -973
980, 980, 19, -980
338, 463, 423, -225
612, 673, 326, -612
328, 697, 239, -265
667, 996, 0, -664
566, 996, 3, -566
526, 672, 324, -523
664, 996, 3, -664
2, 67, 720, 210
673, 996, 0, -669
414, 673, 323, -411
16, 462, 423, 97
29, 152, 425, 392
217, 437, 487, -142
105, 642, 357, -105
0, 31, 473, 495
230, 327, 566, -124
52, 310, 178, 457
0, 131, 489, 379
57, 185, 814, -57
392, 522, 477, -392
0, 0, 434, 565
381, 1000, 0, -381
856, 920, 79, -856
287, 754, 242, -284
987, 1000, 0, -987
4, 180, 779, 35
958, 993, 6, -958
0, 0, 527, 472
0, 64, 919, 16
0, 0, 357, 642
0, 57, 611, 330
0, 48, 412, 539
78, 188, 382, 350
0, 0, 469, 530
511, 574, 258, -343
13, 98, 786, 101
52, 127, 396, 423
927, 969, 21, -918
920, 965, 26, -913
70, 150, 524, 254
939, 1000, 0, -939
887, 940, 59, -887
999, 1000, 0, -999
34, 109, 567, 288
35, 100, 590, 274
27, 120, 477, 374
64, 159, 568, 207
979, 999, 0, -979
124, 394, 335, 145
444, 688, 282, -415
201, 216, 220, 362
139, 303, 236, 320
227, 489, 508, -225
0, 10, 368, 620
0, 14, 296, 688
181, 331, 538, -51
739, 754, 68, -563
236, 493, 356, -86
0, 47, 575, 376
282, 756, 241, -280
0, 0, 231, 768
0, 0, 118, 881
0, 10, 183, 804
0, 0, 112, 887
0, 0, 116, 883
0, 0, 138, 861
0, 46, 614, 339
0, 0, 93, 906
0, 0, 172, 827
0, 0, 368, 631
0, 0, 158, 841
0, 0, 444, 555
167, 379, 400, 52
0, 0, 87, 912
0, 0, 268, 731
0, 0, 307, 692
0, 14, 217, 768
0, 0, 119, 880
0, 0, 271, 728
0, 0, 125, 874
0, 0, 129, 870
0, 0, 344, 655
0, 0, 93, 906
0, 0, 286, 713
525, 683, 316, -525
0, 16, 366, 617
0, 0, 149, 850
0, 0, 275, 724
546, 660, 339, -546
61, 225, 202, 509
0, 0, 37, 962
423, 699, 280, -402
630, 921, 75, -627
0, 0, 130, 869
0, 0, 161, 838
0, 0, 20, 979
979, 994, 5, -979
0, 0, 308, 691
0, 0, 258, 741
0, 0, 210, 789
0, 0, 20, 979
435, 924, 75, -435
850, 882, 73, -806
0, 0, 128, 871
199, 356, 519, -75
0, 0, 316, 683
0, 264, 735, 0
246, 493, 506, -246
0, 0, 117, 882
0, 2, 233, 764
0, 0, 20, 979
0, 0, 451, 548
0, 0, 185, 814
0, 18, 448, 532
0, 0, 87, 912
7, 7, 83, 900
0, 10, 461, 528
0, 0, 214, 785
0, 0, 293, 706
5, 21, 210, 761
0, 0, 185, 814
0, 0, 196, 803
0, 0, 212, 787
0, 81, 448, 469
0, 0, 38, 961
0, 0, 181, 818
2, 2, 149, 846
0, 32, 177, 789
0, 0, 169, 830
0, 10, 271, 717
0, 0, 128, 871
0, 0, 0, 1000
46, 77, 69, 806
0, 26, 273, 700
0, 0, 25, 974
0, 0, 178, 821
559, 792, 207, -559
0, 0, 180, 819
0, 182, 814, 3
2, 2, 155, 840
0, 0, 0, 1000
0, 0, 113, 886
0, 43, 243, 713
0, 60, 280, 658
0, 0, 80, 919
0, 30, 866, 102
20, 161, 350, 467
1, 10, 189, 798
0, 27, 358, 613
0, 0, 286, 713
0, 0, 131, 868
0, 0, 86, 913
0, 0, 352, 647
30, 220, 132, 615
0, 46, 405, 547
0, 13, 198, 788
0, 2, 400, 597
0, 0, 45, 954
0, 78, 238, 682
0, 0, 153, 846
0, 0, 113, 886
0, 3, 360, 636
0, 85, 442, 472
0, 0, 124, 875
0, 0, 27, 972
0, 0, 0, 1000
0, 0, 713, 286
0, 0, 256, 743
0, 0, 179, 820
0, 0, 236, 763
0, 0, 279, 720
21, 277, 179, 520
182, 315, 676, -174
